CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
13.6,67.9,1072,720,0,1,0,0,0,0,0,0,0,0,0,0
16.8,67.9,1016,875,0,3,0,0,0,0,0,0,0,0,0,0
12.3,67.9,1205,660,0,0,0,0,0,0,0,0,0,0,0,0
13.9,67.9,1398,464,0,0,0,0,0,0,0,0,0,0,0,0
18.3,67.9,1000,619,0,0,0,0,0,0,0,0,0,0,0,0
13.5,67.9,1629,642,0,0,0,0,0,0,0,0,0,0,0,0
15.2,67.9,2201,1158,0,0,0,0,0,0,0,0,0,0,0,0
13.1,67.9,2201,1158,0,0,0,0,0,0,0,0,0,0,0,0
14.6,67.9,2201,1158,0,0,0,0,0,0,0,1,0,0,0,0
12.4,67.9,2247,0,0,0,0,0,0,0,0,1,0,0,0,0
14.3,67.9,1632,725,0,0,0,0,0,0,0,0,0,0,0,0
17.8,67.9,1303,829,0,0,0,0,0,0,0,0,0,0,0,0
11.8,67.9,1258,777,0,1,0,0,0,0,0,0,0,0,0,0
13.8,67.9,1375,738,0,3,0,0,0,0,0,0,0,0,0,0
12.8,68.0,1487,369,0,1,0,0,0,0,0,0,0,0,0,0
15.3,67.9,1381,549,0,3,0,0,0,0,1,0,0,0,0,0
15.6,67.9,960,464,0,2,0,0,0,0,0,0,0,0,0,0
15.0,67.9,958,778,0,2,0,0,0,0,0,0,0,0,0,0
13.1,67.9,1092,650,0,1,0,1,0,0,1,0,0,0,0,0
12.5,67.9,1693,536,0,0,0,0,0,0,0,0,0,0,0,0
17.1,67.9,1662,420,0,2,0,0,0,0,0,0,0,0,0,0
10.1,67.9,1681,574,0,0,0,0,0,0,0,0,0,0,0,0
10.8,67.9,1217,480,0,1,0,0,0,0,1,0,0,0,0,0
10.6,67.9,1177,554,0,1,0,0,0,0,1,0,0,0,0,0
9.8,67.9,1287,548,0,0,0,0,0,0,0,0,0,0,0,0
17.2,67.9,1353,586,0,1,0,0,0,0,1,0,0,0,0,0
15.4,67.6,1663,534,0,1,0,0,0,0,0,0,0,0,0,0
17.8,67.6,1016,697,0,3,0,0,0,0,0,0,0,0,0,0
15.5,67.7,1501,744,0,2,0,0,0,0,1,0,0,0,0,0
24.1,67.7,1089,67,0,1,0,0,0,0,0,0,0,0,0,0
22.9,67.8,1491,963,0,3,0,0,0,0,0,0,0,0,0,0
16.2,67.8,1514,938,0,1,0,0,1,0,0,0,0,0,0,0
14.9,67.7,1306,940,0,2,0,0,5,0,0,0,0,0,0,0
22.2,67.8,1409,703,0,1,0,0,0,0,1,0,0,0,0,0
12.1,67.8,1447,432,0,1,0,0,0,0,0,0,0,0,0,0
19.0,67.8,1316,792,0,0,0,0,0,0,0,0,0,0,0,0
18.4,67.8,1024,657,0,2,0,0,1,0,0,0,0,0,0,0
23.9,67.9,1041,363,0,2,0,1,0,0,0,0,0,0,0,0
27.4,68.0,1163,471,0,2,0,0,0,0,0,0,0,0,0,0
15.1,68.0,1082,1001,0,3,0,0,0,0,0,0,0,0,0,0
23.6,67.9,1033,1025,0,3,0,0,0,0,0,0,0,0,0,0
17.2,67.9,1228,559,0,0,0,0,0,0,2,0,0,0,0,0
10.9,67.9,1891,324,0,2,0,0,0,0,0,0,0,0,0,0
14.8,67.9,1650,819,0,1,0,0,0,0,0,0,0,0,0,0
18.0,67.9,1996,422,0,1,0,0,0,0,0,0,0,0,0,0
17.2,67.9,1494,497,0,2,0,0,0,0,0,0,0,0,0,0
14.0,68.0,1606,344,0,0,4,0,0,0,0,0,0,0,0,0
15.2,68.0,1314,493,0,1,0,0,0,0,0,0,0,0,0,0
15.3,68.0,1412,257,0,1,0,1,0,0,2,0,0,0,0,0
11.8,67.8,1041,670,0,2,0,0,0,0,0,0,0,0,0,0
18.5,67.8,953,461,0,3,0,0,0,0,0,0,0,0,0,0
11.5,67.7,1198,748,0,1,0,0,0,0,0,0,0,0,0,0
13.0,67.7,1043,403,0,0,0,0,0,0,0,0,0,0,0,0
16.4,67.7,1220,658,0,3,0,0,0,0,0,0,0,0,0,0
16.8,67.7,1299,477,0,0,0,0,0,0,1,0,0,0,0,0
10.6,67.7,1338,345,0,1,0,0,0,0,1,0,0,0,0,0
17.8,67.7,1784,388,0,1,1,0,0,0,0,0,0,0,0,0
14.2,67.7,1177,559,0,2,0,0,0,0,1,0,0,0,0,0
14.5,67.6,2299,217,0,2,0,0,0,0,1,0,0,0,0,0
12.6,67.6,1083,707,0,0,0,0,0,0,0,0,0,0,0,0
13.4,67.6,1189,341,0,3,0,0,0,0,0,0,0,0,0,0
17.6,67.7,615,1110,0,2,0,0,0,0,0,0,0,0,0,0
16.1,67.6,833,862,0,1,0,0,0,0,0,0,0,0,0,0
13.2,67.7,953,941,0,2,0,0,0,0,0,0,0,0,0,0
12.1,67.7,1207,316,0,2,0,0,0,0,0,0,0,0,0,0
17.6,67.7,947,909,0,1,0,0,0,0,0,0,0,0,0,0
17.8,67.7,1316,567,0,1,0,0,0,0,0,0,0,0,0,0
10.4,67.6,2109,1019,0,2,0,0,0,0,0,0,0,0,0,0
15.1,67.6,1612,779,0,2,0,0,0,0,0,0,0,0,0,0
16.1,67.6,1546,1107,0,2,0,0,0,0,0,0,0,0,0,0
16.3,67.6,874,2,0,3,0,0,0,0,0,0,0,0,0,0
39.0,67.5,1143,462,0,2,0,0,0,0,0,0,0,0,0,0
30.4,67.7,1236,446,0,2,0,0,0,0,0,0,0,0,0,0
14.2,67.6,619,971,0,2,0,0,0,0,0,0,0,0,0,0
12.8,67.5,1117,903,0,2,0,0,0,0,0,0,0,0,0,0
14.9,67.4,1349,891,0,1,0,0,0,0,0,0,0,0,0,0
19.3,67.5,1131,903,0,2,0,0,0,0,0,0,0,0,0,0
11.8,67.5,1167,799,0,2,0,0,0,0,0,0,0,0,0,0
12.8,67.5,1143,633,0,1,0,0,0,0,0,0,0,0,0,0
15.5,67.5,1310,926,0,2,0,0,0,0,0,0,0,0,0,0
14.4,67.3,1323,777,0,2,0,0,0,0,0,0,0,0,0,0
16.6,67.2,1268,718,0,2,0,0,0,0,0,0,0,0,0,0
28.9,67.5,1369,661,0,0,1,0,0,0,0,0,0,0,0,0
13.1,67.4,1108,421,0,2,0,0,0,0,0,0,0,0,0,0
11.4,67.4,1069,501,0,1,0,0,0,0,0,0,0,0,0,0
11.3,67.4,1415,761,0,2,0,0,0,0,1,0,0,0,0,0
21.2,67.3,1303,598,0,0,0,0,0,0,0,0,0,0,0,0
16.3,67.3,1475,579,0,2,0,0,0,0,1,0,0,0,0,0
12.7,67.3,1303,602,0,0,0,0,1,0,0,0,0,0,0,0
14.1,67.3,1386,891,0,3,0,1,0,0,1,0,0,0,0,0
14.8,67.3,1298,539,0,0,0,0,0,0,0,0,0,0,0,0
18.5,67.3,1423,489,0,2,0,2,0,0,3,0,0,0,0,0
20.7,67.2,1332,590,0,1,0,0,0,0,1,0,0,0,0,0
12.1,67.2,1285,441,0,2,0,0,0,0,0,0,0,0,0,0
12.6,67.2,2130,552,0,0,0,0,0,0,0,0,0,0,0,0
11.6,67.2,1182,749,0,1,0,0,0,0,0,0,0,0,0,0
12.3,67.2,992,576,0,1,0,0,0,0,0,0,0,0,0,0
19.2,67.2,1524,394,0,0,0,0,0,0,0,0,0,0,0,0
13.9,67.2,1163,327,0,1,0,0,0,0,0,0,0,0,0,0
