TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704414454966490400,13.8,60.5,-380,-174,0,0,0,0,0,0,0,0,0,0,0,0
1704414455984468500,12.2,60.6,-160,454,0,0,0,0,0,0,0,0,0,0,0,0
1704414457513417800,22.8,60.6,1113,585,0,2,0,0,0,0,0,0,0,0,0,0
1704414458024421300,14.6,60.6,1169,558,0,1,0,0,0,0,0,0,0,0,0,0
1704414459548807600,14.5,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0
1704414460062785800,28.1,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0
1704414461580241500,14.6,60.3,1169,558,0,0,0,0,0,0,0,0,0,0,0,0
1704414462601201400,20.8,60.3,1222,490,0,2,0,0,0,0,0,0,0,0,0,0
1704414463116677500,17.9,60.2,1223,515,0,0,0,0,0,0,0,0,0,0,0,0
1704414464139607400,16.6,60.1,1224,495,0,1,0,0,0,0,0,0,0,0,0,0
1704414465666526600,20.0,60.2,1317,449,0,2,0,0,0,0,0,0,0,0,0,0
1704414466178526600,17.1,60.1,1309,450,0,2,0,0,0,0,0,0,0,0,0,0
1704414467201457400,15.4,60.1,1308,451,0,1,0,0,0,0,0,0,0,0,0,0
1704414468728899200,15.2,60.1,1101,507,0,2,0,0,0,0,0,0,0,0,0,0
1704414469241396200,25.3,60.1,1242,735,0,0,0,0,0,0,0,0,0,0,0,0
1704414470254370200,17.4,60.1,1576,882,0,0,0,0,0,0,0,0,0,0,0,0
1704414471269300400,15.1,60.1,1581,871,0,0,0,0,0,0,0,0,0,0,0,0
1704414472284222800,14.6,60.1,1467,525,0,1,0,0,0,0,0,0,0,0,0,0
1704414473314159100,14.3,60.1,1457,616,0,0,0,0,0,0,0,0,0,0,0,0
1704414474848096100,19.9,60.1,1565,795,0,3,1,0,0,0,0,0,0,0,0,0
1704414475364565500,13.6,60.1,1231,790,0,0,0,0,0,0,0,0,0,0,0,0
1704414476387539000,18.3,60.1,1066,638,0,2,0,0,0,0,0,0,0,0,0,0
1704414477404049600,12.7,60.1,1696,627,0,0,0,0,0,0,1,0,0,0,0,0
1704414478421522600,23.1,60.1,1329,722,0,1,0,0,0,0,0,0,0,0,0,0
1704414479441462600,15.8,60.1,1549,628,0,2,0,0,0,0,0,0,0,0,0,0
1704414480459891400,16.6,60.1,1677,791,0,0,0,0,0,0,0,0,0,0,0,0
1704414481481378800,15.6,60.1,1559,637,0,0,0,0,0,0,1,0,0,0,0,0
1704414482494863300,16.2,60.1,1352,666,0,0,0,0,0,0,0,0,0,0,0,0
1704414483519298900,15.5,60.1,1776,849,0,2,0,0,0,0,0,0,0,0,0,0
1704414484541732000,18.4,60.1,1671,774,0,2,0,0,0,0,0,0,0,0,0,0
1704414486060692400,17.2,60.1,1352,827,0,1,0,0,0,0,0,0,0,0,0,0
1704414486575160200,19.7,60.1,1212,730,0,0,1,0,0,0,0,0,0,0,0,0
1704414488102563100,13.3,60.0,1457,410,0,2,0,0,0,0,0,0,0,0,0,0
1704414488615587300,15.5,60.0,1478,413,0,0,0,0,0,0,0,0,0,0,0,0
1704414489633520900,14.4,60.1,1245,627,0,2,0,0,0,0,0,0,0,0,0,0
1704414490647953100,13.8,60.0,1506,313,0,0,0,0,0,0,0,0,0,0,0,0
1704414491663432400,15.1,60.1,1661,327,0,1,0,0,0,0,0,0,0,0,0,0
1704414492678409600,14.7,60.0,1567,697,0,2,0,0,0,0,0,0,0,0,0,0
1704414493692856100,15.3,60.0,1897,531,0,1,0,0,0,0,0,0,0,0,0,0
1704414495211244300,13.6,60.0,1810,451,0,2,0,0,0,0,1,0,0,0,0,0
1704414495719719600,12.8,60.0,1780,440,0,0,0,0,0,0,0,0,0,0,0,0
1704414496733679800,23.8,60.0,1902,428,0,2,0,0,0,0,0,0,0,0,0,0
1704414497756111800,17.1,60.0,198,1311,0,1,0,0,0,0,0,0,0,0,0,0
1704414499286524500,15.4,60.0,1848,20,0,1,0,0,0,0,0,0,0,0,0,0
1704414499802496400,14.8,60.0,1487,395,0,2,0,0,0,0,0,0,0,0,0,0
1704414500816446600,14.0,60.0,1428,356,0,1,0,0,0,0,0,0,0,0,0,0
1704414501833893200,21.4,60.0,1497,380,0,1,0,0,0,0,0,0,0,0,0,0
1704414502856326400,13.2,60.0,1582,580,0,1,0,0,0,0,0,0,0,0,0,0
1704414503876291900,15.9,60.0,1508,514,0,0,0,0,0,0,1,0,0,0,0,0
1704414504895778700,14.1,60.0,1666,458,0,2,0,0,0,0,0,0,0,0,0,0
1704414505909765300,18.3,60.0,1618,486,0,2,0,0,0,0,0,0,0,0,0,0
1704414507427693800,16.1,60.0,1621,545,0,1,0,0,0,0,0,0,0,0,0,0
1704414507936659900,17.8,60.1,1471,367,0,2,0,0,0,0,0,0,0,0,0,0
1704414509455544000,33.0,60.3,1621,515,0,2,0,0,0,0,0,0,0,0,0,0
1704414509968052500,16.5,60.3,1447,414,0,1,0,0,0,0,0,0,0,0,0,0
1704414510992984700,15.6,60.3,1544,512,0,1,0,0,0,0,0,0,0,0,0,0
1704414512017425400,20.5,60.2,1576,555,0,1,0,0,0,0,0,0,0,0,0,0
1704414513036352000,22.3,60.2,1647,1138,0,2,0,0,0,0,0,0,0,0,0,0
1704414514060824500,23.7,60.2,1501,565,0,2,0,0,0,0,0,0,0,0,0,0
1704414515083779200,18.7,60.2,1519,530,0,2,0,0,0,0,0,0,0,0,0,0
1704414516102231500,19.3,60.1,1474,478,0,1,0,0,0,0,0,0,0,0,0,0
1704414517118170500,22.1,60.0,1434,549,0,1,0,0,0,0,0,0,0,0,0,0
1704414518646576200,24.0,60.0,1305,774,0,1,1,0,0,0,0,0,0,0,0,0
1704414519161623800,18.3,60.0,1335,745,0,0,0,0,0,0,0,0,0,0,0,0
1704414520183604000,12.0,60.0,1191,601,0,2,0,0,0,0,0,0,0,0,0,0
1704414521206534300,15.1,60.0,1471,684,0,0,0,0,0,0,1,0,0,0,0,0
1704414522226510200,16.0,60.0,332,1439,0,1,0,0,0,0,0,0,0,0,0,0
1704414523241989400,15.5,60.0,787,1427,0,0,0,0,0,0,0,0,0,0,0,0
1704414524770385900,14.8,60.0,1536,553,0,1,0,0,0,0,0,0,0,0,0,0
1704414525285363200,16.5,60.0,1621,507,0,2,0,0,0,0,0,0,0,0,0,0
1704414526303817200,16.1,60.0,1534,560,0,3,0,0,0,0,0,0,0,0,0,0
1704414527318781000,13.8,60.0,1929,195,0,3,0,0,0,0,0,0,0,0,0,0
1704414528328766700,20.4,60.0,1520,363,0,3,0,1,0,0,0,0,0,0,0,0
1704414529343725000,19.2,60.1,1580,341,0,2,0,0,1,0,0,0,0,0,0,0
1704414530868615900,18.6,60.0,1771,466,0,3,0,0,0,3,0,0,0,0,0,0
1704414531381585700,23.3,60.0,1772,464,0,4,0,2,0,0,3,0,0,0,0,0
1704414532899562900,23.0,60.0,1698,441,0,3,0,2,0,0,1,0,0,0,0,0
1704414533412029200,23.3,60.0,1707,475,0,3,2,0,0,0,1,0,0,0,0,0
1704414534434958500,17.9,60.0,1559,470,0,3,0,2,0,0,2,0,0,0,0,0
1704414535454440900,21.1,60.0,1599,585,0,3,1,2,0,0,0,0,0,0,0,0
1704414536473885300,21.4,60.0,1350,508,0,4,0,2,0,0,2,0,0,0,0,0
1704414537496815800,16.3,60.0,1539,624,0,3,1,2,0,0,0,0,0,0,0,0
1704414538520808100,21.3,60.0,1475,364,0,3,0,1,0,0,2,0,0,0,0,0
1704414540041767300,19.4,60.0,1517,721,0,2,0,0,0,0,0,0,0,0,0,0
1704414540556738900,16.6,60.0,1478,608,0,1,0,0,0,0,1,0,0,0,0,0
1704414541578699200,13.8,60.0,1555,713,0,2,0,1,0,0,1,0,0,0,0,0
1704414543101587800,14.4,60.0,1592,709,0,0,0,0,0,0,1,0,0,0,0,0
1704414543612575400,16.5,60.0,1499,809,0,2,0,0,0,0,0,0,0,0,0,0
1704414545139026300,13.6,60.0,272,1189,0,3,0,0,0,0,0,0,0,0,0,0
1704414545650518700,18.1,60.0,41,1414,0,2,0,0,0,0,0,0,0,0,0,0
1704414546672448100,19.4,60.0,1300,827,0,2,0,0,0,0,1,0,0,0,0,0
1704414547694402700,19.5,60.0,1428,739,0,0,0,0,0,0,0,0,0,0,0,0
1704414549222364200,11.4,60.0,1164,818,0,0,0,0,0,0,0,0,0,0,0,0
1704414549736355400,16.1,59.9,1164,818,0,0,0,0,0,0,0,0,0,0,0,0
1704414551257261600,22.3,60.0,1164,818,0,0,0,0,0,0,0,0,0,0,0,0
1704414551771729400,18.1,60.0,1173,803,0,0,0,0,0,0,0,0,0,0,0,0
1704414552784173600,13.5,60.0,1474,760,0,2,0,0,0,0,0,0,0,0,0,0
1704414553800641000,15.6,60.0,1397,1012,0,0,1,0,0,0,0,0,0,0,0,0
1704414554825077100,19.0,60.0,1099,648,0,2,0,0,0,0,0,0,0,0,0,0
1704414555847510400,18.6,60.0,1216,422,0,0,0,0,0,0,1,0,0,0,0,0
1704414556862506900,21.5,60.0,1260,24,0,3,0,0,0,0,0,0,0,0,0,0
1704414557876970600,20.9,60.0,1311,256,0,3,0,0,0,0,0,0,0,0,0,0
1704414558899900700,14.9,60.0,1521,371,0,1,0,0,0,0,0,0,0,0,0,0
1704414559923341700,16.9,60.0,1521,522,0,3,0,0,0,0,0,0,0,0,0,0
1704414560939834200,13.6,60.0,1500,417,0,2,0,0,0,0,1,0,0,0,0,0
1704414561953815200,15.5,60.0,1473,465,0,0,0,0,0,0,0,0,0,0,0,0
1704414562967770400,15.8,60.0,1530,586,0,1,0,0,0,0,2,0,0,0,0,0
1704414564496166900,13.6,60.0,1304,671,0,2,0,0,0,0,0,0,0,0,0,0
1704414565011643500,22.0,60.0,1441,813,0,2,0,0,0,0,0,0,0,0,0,0
1704414566033633300,14.0,60.0,1085,486,0,0,0,0,0,0,0,0,0,1,0,0
1704414567048570600,18.8,60.0,1236,560,0,0,0,0,0,0,0,0,0,0,0,0
1704414568577005600,13.8,60.0,1182,433,0,2,0,0,0,0,0,0,0,0,0,0
1704414569090492300,16.0,60.0,1183,434,0,3,0,0,0,0,0,0,0,0,0,0
1704414570114423000,16.7,60.0,1157,446,0,0,0,0,0,0,0,0,0,1,0,0
1704414571134411400,14.6,59.9,1256,498,0,0,0,0,0,0,0,0,0,11,0,0
1704414572155366600,11.5,60.0,1453,570,0,0,0,0,0,0,0,0,0,0,0,0
1704414573168826000,10.6,60.0,1469,553,0,0,0,0,0,0,0,0,0,1,0,0
1704414574182776800,16.3,60.0,1469,553,0,0,0,0,0,0,0,0,0,5,0,0
1704414575196790800,12.9,60.0,1469,553,0,0,0,0,0,0,0,0,0,0,0,0
1704414576217732900,13.5,60.0,1469,553,0,0,0,0,0,0,0,0,0,0,0,0
1704414577238661000,9.1,60.0,1487,580,0,0,0,0,0,0,0,0,0,0,0,0
1704414578252636600,17.9,60.0,1638,467,0,0,0,0,0,0,0,0,0,0,0,0
1704414579269573600,19.8,60.0,1306,712,1,0,0,0,0,0,0,0,0,0,0,0
