TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704585970690115600,38.4,62.5,-326,153,0,0,0,0,0,0,0,0,0,0,0,0
1704585971714048200,29.9,62.5,-352,142,0,0,0,0,0,0,0,0,0,0,0,0
1704585972732973100,35.9,62.7,-1040,166,0,0,0,0,0,0,0,0,0,0,0,0
1704585973756904000,30.2,62.7,-594,1347,0,0,0,0,0,0,0,0,0,0,0,0
1704585974783340800,35.9,62.6,-469,1340,0,0,0,0,0,0,0,0,0,0,0,0
1704585975803772500,28.9,62.6,910,1149,0,0,0,0,0,0,0,0,0,0,0,0
1704585976826702600,46.6,62.6,938,1419,1,0,0,0,0,0,0,0,0,0,0,0
1704585978354602200,16.6,62.4,1047,387,0,2,0,0,0,0,0,0,0,0,0,0
1704585978870070900,16.8,62.3,1059,421,0,0,0,0,0,0,0,0,0,0,0,0
1704585979895002700,23.2,62.0,1527,624,0,0,16,0,0,0,0,0,0,0,0,0
1704585980914930000,18.4,62.2,1527,624,0,0,15,0,0,0,0,0,0,0,0,0
1704585981937859800,18.9,62.3,1625,774,0,3,0,0,0,0,1,0,0,0,0,0
1704585983461244800,18.2,62.2,1189,779,0,3,0,0,0,0,0,0,0,0,0,0
1704585983977217000,18.3,62.1,1499,791,0,1,0,0,0,0,1,0,0,0,0,0
1704585984997648400,11.1,62.2,1046,717,0,1,0,0,0,0,0,0,0,0,0,0
1704585986021579100,23.5,62.2,1612,1010,0,2,0,0,0,0,0,0,0,0,0,0
1704585987046518400,16.8,62.2,1257,768,0,1,0,0,0,0,2,0,0,0,0,0
1704585988074474600,11.7,62.1,1491,1118,0,1,0,0,0,0,0,0,0,0,0,0
1704585989089397100,19.6,62.1,1422,1023,0,1,0,0,0,0,0,0,0,0,0,0
1704585990111831500,12.3,62.1,1289,1054,0,2,0,0,0,0,0,0,0,0,0,0
1704585991137267500,16.9,62.1,1264,1057,0,2,0,0,0,0,1,0,0,0,0,0
1704585992161198000,18.6,62.1,1127,761,0,2,0,0,0,0,0,0,0,0,0,0
1704585993687104200,17.6,61.9,1662,456,0,0,1,0,0,0,0,0,0,0,0,0
1704585994710034300,15.2,61.9,1785,868,0,0,0,0,0,0,0,0,0,0,0,0
1704585995225510400,19.8,61.9,1458,562,0,2,0,0,0,0,0,0,0,0,0,0
1704585996243450800,15.5,61.9,1448,675,0,2,0,0,0,0,0,0,0,0,0,0
1704585997263883300,16.6,62.0,1512,564,0,0,0,0,0,0,0,0,0,0,0,0
1704585998793273700,14.3,62.0,1203,885,0,2,0,0,0,0,0,0,0,0,0,0
1704585999305739300,15.3,61.9,1381,752,0,1,0,0,0,0,0,0,0,0,0,0
1704586000337180500,18.0,61.8,818,835,0,2,0,0,0,0,0,0,0,0,0,0
1704586001358108100,26.9,61.7,475,914,0,2,0,0,0,0,0,0,0,0,0,0
1704586002382543300,20.9,61.8,750,775,0,1,0,0,0,0,0,0,0,0,0,0
1704586003404977100,23.3,61.8,972,1098,0,1,0,0,0,0,0,0,0,0,0,0
1704586004429411200,17.5,61.8,765,701,0,2,0,0,0,0,0,0,0,0,0,0
1704586005450339900,16.1,61.8,1000,634,0,2,0,0,0,0,0,0,0,0,0,0
1704586006475271000,21.1,61.8,945,273,0,2,0,0,0,0,0,0,0,0,0,0
1704586007499210500,15.6,61.7,1197,279,0,0,0,0,0,0,0,0,0,0,0,0
1704586008518136600,16.1,61.7,1638,718,0,0,4,0,0,0,0,0,0,0,0,0
1704586009541570900,17.0,61.7,1621,725,0,0,16,0,0,0,0,0,0,0,0,0
1704586011060959200,13.1,61.7,1533,829,0,3,0,0,0,0,0,0,0,0,0,0
1704586011576931400,21.2,61.7,1502,799,0,4,0,0,0,0,0,0,0,0,0,0
1704586012597875200,19.1,61.6,1078,244,0,2,0,0,0,0,0,0,0,0,0,0
