TIMESTAMP,MEMORY_USED,MEMORY_FREE,MEMORY_PERCENT,CPU_PERCENT
1703810953148537000,4248666112,44105728,66.2,13.4
1703810954153513000,4246683648,70107136,66.2,10.8
1703810955154472000,4245602304,70336512,66.2,6.5
1703810956154981000,4244455424,68894720,66.2,5.0
1703810957156284000,4243652608,69025792,66.1,4.9
1703810958156772000,4240244736,54280192,66.1,11.2
