TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1703983315994651600,0.0,66.6,"(-296, -318)",0,0,0,0,0,0,0,0,0,0,0,0
1703983316501617500,0.0,66.6,"(-298, -223)",0,0,0,0,0,0,0,0,0,0,0,0
1703983317008583100,0.0,66.5,"(-330, -199)",1,0,0,0,0,0,0,0,0,0,0,0
1703983317523556600,0.0,67.3,"(-376, -187)",0,0,0,0,0,0,0,0,0,0,0,0
1703983318038537300,0.0,67.3,"(-920, -142)",0,0,0,0,0,0,0,0,0,0,0,0
1703983318566017000,0.0,66.9,"(-1000, -122)",0,0,0,0,0,0,0,0,0,0,0,0
1703983319076987400,0.0,66.8,"(-573, 386)",0,0,0,0,0,0,0,0,0,0,0,0
1703983319586955900,0.0,66.7,"(-593, 1318)",0,0,0,0,0,0,0,0,0,0,0,0
1703983320092921100,0.0,66.7,"(-570, 1337)",1,0,0,0,0,0,0,0,0,0,0,0
1703983320602889000,0.0,66.7,"(-504, 1345)",0,0,0,0,0,0,0,0,0,0,0,0
1703983321115377200,0.0,66.7,"(-425, 1338)",0,0,0,0,0,0,0,0,0,0,0,0
1703983321626843100,0.0,66.7,"(-403, 1335)",0,0,0,0,0,0,0,0,0,0,0,0
1703983322133809700,0.0,66.7,"(-373, 1043)",2,0,0,0,0,0,0,0,0,0,0,0
1703983322643778300,0.0,66.7,"(-365, 1008)",0,0,0,0,0,0,0,0,0,0,0,0
1703983323163755700,0.0,67.2,"(-348, 813)",0,0,0,0,0,0,0,0,0,0,0,0
1703983323666731600,0.0,67.2,"(-348, 813)",0,0,0,0,0,0,0,0,0,0,0,0
1703983324183705900,0.0,67.3,"(-347, 794)",0,0,0,0,0,0,0,0,0,0,0,0
1703983324693673900,0.0,67.2,"(-347, 794)",0,0,0,0,0,0,0,0,0,0,0,0
1703983325200639000,0.0,67.2,"(-347, 794)",0,0,0,0,0,0,0,0,0,0,0,0
