CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
16.3,68.7,1243,780,0,1,0,0,0,0,0,0,0,0,0,0
20.1,68.7,1228,1165,0,2,0,0,0,0,0,0,0,0,0,0
12.6,68.7,876,774,0,1,0,0,0,0,0,0,0,0,0,0
15.4,68.7,1251,867,0,3,0,0,0,0,0,0,0,0,0,0
13.6,68.7,888,802,0,3,0,0,0,0,0,0,0,0,0,0
13.6,68.7,858,800,0,0,0,0,0,0,0,0,0,0,0,0
13.4,68.7,1115,867,0,2,0,0,0,0,0,0,0,0,0,0
14.5,68.7,1304,619,0,1,1,0,0,0,0,0,0,0,0,0
15.2,68.7,1342,988,0,2,0,0,0,0,0,0,0,0,0,0
15.2,68.7,1101,853,0,3,0,0,0,0,0,0,0,0,0,0
15.0,68.7,503,1024,0,1,0,0,0,0,0,0,0,0,0,0
15.5,68.7,1146,759,0,0,0,0,0,0,1,0,0,0,0,0
16.3,68.7,1175,622,0,1,0,0,0,0,1,0,0,0,0,0
14.6,68.7,787,1208,0,3,0,0,0,0,0,0,0,0,0,0
15.5,68.6,802,817,0,2,0,0,0,0,2,0,0,0,0,0
20.4,68.7,765,1090,0,3,0,0,0,0,0,0,0,0,0,0
14.5,68.7,717,930,0,0,0,0,0,0,2,0,0,0,0,0
17.8,68.7,819,887,0,1,0,0,0,0,0,0,0,0,0,0
13.7,68.8,820,739,0,0,0,0,0,0,0,0,0,0,0,0
17.4,68.7,915,976,0,2,0,0,0,0,1,0,0,0,0,0
13.0,68.7,1096,578,0,1,2,0,0,0,0,0,0,0,0,0
13.4,68.7,1063,1043,0,2,0,0,0,0,0,0,0,0,0,0
12.4,68.7,613,407,0,3,0,0,0,0,0,0,0,0,0,0
13.2,68.7,951,714,0,2,0,0,0,0,0,0,0,0,0,0
14.0,68.8,778,881,0,1,0,0,0,0,0,0,0,0,0,0
14.6,68.7,867,934,0,3,0,0,0,0,0,0,0,0,0,0
20.2,68.8,926,768,0,1,0,0,0,0,0,0,0,0,0,0
18.8,68.8,599,994,0,2,0,0,0,0,0,0,0,0,0,0
19.0,68.7,1118,1014,0,2,0,0,0,0,0,0,0,0,0,0
14.0,68.7,739,845,0,2,0,0,0,0,0,0,0,0,0,0
12.3,68.7,1043,831,0,2,0,0,0,0,1,0,0,0,0,0
13.8,68.7,1362,578,0,1,0,0,0,0,0,0,0,0,0,0
12.2,68.7,1068,1059,0,3,0,0,0,0,0,0,0,0,0,0
15.6,68.7,1068,768,0,0,0,0,0,0,0,0,0,0,0,0
14.3,68.7,217,1370,0,2,0,0,0,0,0,0,0,0,0,0
16.5,68.7,647,914,0,2,0,0,0,0,0,0,0,0,0,0
15.2,68.7,1155,975,0,2,0,0,0,0,0,0,0,0,0,0
21.0,68.7,1205,1004,0,1,0,0,0,0,1,0,0,0,0,0
19.6,68.7,1162,694,0,0,0,0,0,0,0,0,0,0,0,0
24.9,68.8,858,763,0,1,0,0,0,0,0,0,0,0,0,0
12.6,68.7,1105,759,0,1,0,0,0,0,0,0,0,0,0,0
16.3,68.6,775,762,0,2,0,0,0,0,0,0,0,0,0,0
13.6,68.6,1307,815,0,1,0,0,0,0,0,0,0,0,0,0
16.8,68.6,984,861,0,2,0,0,0,0,0,0,0,0,0,0
18.8,68.6,1092,654,0,1,0,0,1,0,0,0,0,0,0,0
12.6,68.6,1009,565,0,1,0,0,0,0,0,0,0,0,0,0
14.7,68.6,986,492,0,2,0,0,0,0,0,0,0,0,0,0
14.3,68.6,1230,701,0,1,0,0,0,0,0,0,0,0,0,0
14.8,68.6,969,731,0,2,0,0,0,0,1,0,0,0,0,0
16.9,68.4,1651,161,0,1,0,0,0,0,0,0,0,0,0,0
20.6,68.4,2559,711,0,2,0,0,0,0,0,0,0,0,0,0
15.6,68.4,1457,0,0,2,0,0,0,0,0,0,0,0,0,0
16.7,68.4,1035,1106,0,0,0,0,0,0,0,0,0,0,0,0
14.6,68.4,1060,865,0,1,0,0,0,0,0,0,0,0,0,0
14.9,68.4,1244,921,0,2,0,0,0,0,0,0,0,0,0,0
17.0,68.4,992,869,0,2,0,0,0,0,0,0,0,0,0,0
13.5,68.4,1271,614,0,1,0,0,0,0,0,0,0,0,0,0
16.2,68.4,1009,1114,0,0,0,0,0,0,0,0,0,0,0,0
16.7,68.4,1127,1054,0,2,0,0,0,0,0,0,0,0,0,0
20.5,68.5,1256,954,0,1,0,0,0,0,0,0,0,0,0,0
13.7,68.5,1162,1061,0,2,0,0,0,0,0,0,0,0,0,0
13.4,68.5,1056,959,0,2,0,0,0,0,0,0,0,0,0,0
19.3,68.4,393,1065,0,2,0,0,0,0,0,0,0,0,0,0
14.6,68.5,1110,819,0,1,0,0,0,0,0,0,0,0,0,0
22.5,68.5,934,772,0,3,0,2,0,0,2,0,0,0,0,0
14.6,68.5,1060,714,0,1,1,0,0,0,0,0,0,0,0,0
15.2,68.5,707,899,0,1,0,0,0,0,0,0,0,0,0,0
15.3,68.5,1519,60,0,3,0,2,0,0,2,0,0,0,0,0
15.8,68.5,1728,324,0,1,0,0,0,0,0,0,0,0,0,0
15.5,68.4,1543,492,0,2,0,0,0,0,0,0,0,0,0,0
17.1,68.5,1357,529,0,0,0,0,0,0,0,0,0,0,0,0
14.2,68.5,1382,512,0,2,0,0,0,0,0,0,0,0,0,0
12.2,68.5,1227,644,0,2,0,0,0,0,0,0,0,0,0,0
12.6,68.5,1186,690,0,0,0,0,0,0,1,0,0,0,0,0
16.4,68.4,1053,646,0,1,0,0,0,0,1,0,0,0,0,0
17.3,68.5,1623,804,0,0,0,0,0,0,0,0,0,0,0,0
12.5,68.5,1415,741,0,2,0,0,0,0,0,0,0,0,0,0
16.0,68.5,1499,676,0,0,0,0,0,0,0,0,0,1,0,0
12.5,68.5,1119,477,0,1,0,0,0,0,0,0,0,0,0,0
13.7,68.4,1,676,0,3,0,0,0,0,0,0,0,0,0,0
14.2,68.5,296,1176,0,2,0,0,0,0,0,0,0,0,0,0
13.4,68.5,1675,938,0,1,0,0,0,0,0,0,0,0,0,0
