TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1.7044144549664904e+18,13.8,60.5,-380,-174,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144559844685e+18,12.2,60.6,-160,454,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144575134177e+18,22.8,60.6,1113,585,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144580244214e+18,14.6,60.6,1169,558,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7044144595488077e+18,14.5,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144600627858e+18,28.1,60.4,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144615802414e+18,14.6,60.3,1169,558,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144626012014e+18,20.8,60.3,1222,490,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144631166774e+18,17.9,60.2,1223,515,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144641396073e+18,16.6,60.1,1224,495,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7044144656665267e+18,20.0,60.2,1317,449,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144661785267e+18,17.1,60.1,1309,450,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144672014574e+18,15.4,60.1,1308,451,0,1,0,0,0,0,0,0,0,0,0,0,0
1.704414468728899e+18,15.2,60.1,1101,507,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144692413962e+18,25.3,60.1,1242,735,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144702543703e+18,17.4,60.1,1576,882,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144712693005e+18,15.1,60.1,1581,871,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144722842227e+18,14.6,60.1,1467,525,0,1,0,0,0,0,0,0,0,0,0,0,0
1.704414473314159e+18,14.3,60.1,1457,616,0,0,0,0,0,0,0,0,0,0,0,0,0
1.704414474848096e+18,19.9,60.1,1565,795,0,3,1,0,0,0,0,0,0,0,0,0,0
1.7044144753645655e+18,13.6,60.1,1231,790,0,0,0,0,0,0,0,0,0,0,0,0,0
1.704414476387539e+18,18.3,60.1,1066,638,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144774040497e+18,12.7,60.1,1696,627,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7044144784215227e+18,23.1,60.1,1329,722,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7044144794414625e+18,15.8,60.1,1549,628,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144804598915e+18,16.6,60.1,1677,791,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144814813788e+18,15.6,60.1,1559,637,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7044144824948634e+18,16.2,60.1,1352,666,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7044144835192988e+18,15.5,60.1,1776,849,0,2,0,0,0,0,0,0,0,0,0,0,0
1.704414484541732e+18,18.4,60.1,1671,774,0,2,0,0,0,0,0,0,0,0,0,0,0
1.7044144860606925e+18,17.2,60.1,1352,827,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7044144865751603e+18,19.7,60.1,1212,730,0,0,1,0,0,0,0,0,0,0,0,0,0
1.704414488102563e+18,13.3,60.0,1457,410,0,2,0,0,0,0,0,0,0,0,0,0,0
